SMILES,o_mus_ipr_LD,o_rat_orl_TDLo,o_mus_ipr_LDLo,o_mus_orl_TDLo,o_rat_ipr_TDLo,o_mus_ivn_LD,o_rat_ipr_LD,o_mus_orl_LD,o_mus_unr_LD,o_rat_unr_LD,o_mus_scu_LDLo,o_rat_scu_LD,o_mus_scu_LD,o_rat_ipr_LDLo,o_mus_ipr_TDLo,o_rbt_skn_LD,o_rat_orl_LD,o_rat_ivn_TDLo,o_rat_orl_LDLo,o_rbt_orl_LD,o_rbt_ivn_LD,o_rat_ivn_LD,o_mus_orl_LDLo,o_rat_skn_LD,o_mam_unr_LD,o_gpg_orl_LD,o_wmn_orl_TDLo,o_man_orl_TDLo,o_rat_scu_TDLo
C#Cc1ccc(C23OCC(C4CC4)(CO2)CO3)cc1,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(C4CCC4)(CO2)CO3)cc1,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(C4CCCC4)(CO2)CO3)cc1,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(C4CCCCC4)(CO2)CO3)cc1,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(C4CCCCCC4)(CO2)CO3)cc1,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CC(=C)C)(CO2)CO3)cc1,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CC(C)(C)C)(CO2)CO3)cc1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CC(C)C)(CO2)CO3)cc1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CC)(CO2)CO3)cc1,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CC=C)(CO2)CO3)cc1,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CCC(C)C)(CO2)CO3)cc1,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CCC)(CO2)CO3)cc1,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CCCC)(CO2)CO3)cc1,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CCCCC)(CO2)CO3)cc1,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CCCCCC)(CO2)CO3)cc1,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(CCl)(CO2)CO3)cc1,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(N(C)C)(CO2)CO3)cc1,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(N(CC)CC)(CO2)CO3)cc1,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC([C@@H]4C[C@H]4C)(CO2)CO3)cc1,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4ccc(C)cc4)(CO2)CO3)cc1,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4ccc(Cl)cc4)(CO2)CO3)cc1,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4ccc(F)cc4)(CO2)CO3)cc1,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4ccc(OC)cc4)(CO2)CO3)cc1,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4cccc(F)c4)(CO2)CO3)cc1,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4ccccc4)(CO2)CO3)cc1,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1ccc(C23OCC(c4ccccc4F)(CO2)CO3)cc1,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,
C#Cc1ccccc1,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,
C#Cc1cncc([C@@H]2CCCN2C)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19
C#N,3.96,,,,,4.44,,3.86,,,3.95,,,,,,,,,,4.61,4.52,,,,,,,
C(#CCN1CCCC1)CN1CCCC1,3.89,,,,,3.405,,,,,,,3.325,,,,,,,,,,,,,,,,
C(#CCN1CCCC1)COC(c1ccccc1)c1ccccc1,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,
C(#CCN1CCCC1)COCc1ccccc1,,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,
C(#CCN1CCCCC1)CN1CCCCC1,,,,,,3.59,,,,,,,,,,,,,,,,,,,,,,,
C(#CCN1CCCCC1)COC(c1ccccc1)c1ccccc1,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
C(#CCN1CCCCC1)COCc1ccccc1,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
C(#CCNC1CCCCC1)CNC1CCCCC1,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,
C(#CCSc1nc2ccccc2[nH]1)CSc1nc2ccccc2[nH]1,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,
C(#Cc1ccccc1)CN1CCCCC1,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,
C(#Cc1ccccc1)CN1CCN(Cc2ccc3c(c2)OCO3)CC1,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(/C=C/C=C/N(Cc1ccccc1)Cc1ccccc1)=[N+](Cc1ccccc1)Cc1ccccc1,3.39,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,
C(/C=C/C=C/N1CCCCCCC1)=[N+]1CCCCCCC1,4.51,,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,
C(/C=C/C=C/N1CCCCCCCC1)=[N+]1CCCCCCCC1,4.55,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,
C(/C=C/C=C/N1CCCc2ccccc21)=C1/[NH2+]CCc2ccccc21,3.86,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,
C(/C=C/C=C/N1CCOCC1)=[N+]1CCOCC1,2.61,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,
C(/C=C/N1CCCc2ccccc21)=[N+]1CCCc2ccccc21,,,,,,4.88,,,,,,,,,,,,,,,,,,,,,,,
C(=C/C1(N2CCCCC2)CCCCC1)\c1ccccc1,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/C1SCCS1)\c1ccccc1,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/CCc1cccc(-c2cccc(-c3ccccn3)n2)n1)\CCc1cccc(-c2cccc(-c3ccccn3)n2)n1,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,
C(=C/CN1CCCCC1)\Cc1ccccc1,3.45,,,,,,3.45,,,,,,,,,,,,,,,,,,,,,,
C(=C/N1CCCCC1)\c1ccccc1,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,
C(=C/[NH+](Cc1ccccc1)Cc1ccccc1)\c1ccccc1,,,,,,,,,,,,,2.83,,,,,,,,,,,,,,,,
C(=C/[n+]1ccccc1)\c1ccccc1,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,
C(=C/[n+]1ccccc1)\c1cccs1,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccc(Nc2nnns2)cc1)\c1ccccc1,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccc2c(c1)Cc1cc(/C=C/CCN3CCCCC3)ccc1O2)\CCN1CCCCC1,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,
C(=C/c1cccc2ccccc12)\c1ccncc1,2.95,,,,,3.55,,,,,,,3.25,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CC1(N2CCCCC2)CCCCC1,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CC(c2ccccc2)C1,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CC2CC(C1)c1ccccc1O2,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CCCCC1,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,2.7,,,3.96,5.57,4.095,2.55,1.91,,,,2.27,2.27,,4.27,,1.75,,,,,4.19,,,,,1.51,,
C(=C/c1ccccc1)\CN1CCN(Cc2ccc3c(c2)OCO3)CC1,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CCN(c2ncc3[nH]cnc3n2)CC1,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2ncn3Cc2ccc3c(c2)OCO3)CC1,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,
C(=C/c1ccccc1)\CN1CCN(c2ncnc3nc[nH]c23)CC1,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\CN1CCc2ncccc2C1,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1)\c1ccccc1,1.82,,,,,3.72,,2.29,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1OCCCCN1CCCC1)\c1ccccc1,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccccc1OCCCCN1CCCCC1)\c1ccccc1,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ccco1)\c1ccccn1,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,
C(=C/c1ncon1)\c1ccccc1,,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,
C(=CC=[N+]1CCC(c2ccccc2)CC1)C=CN1CCC(c2ccccc2)CC1,3.62,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,
C(=CC=[N+]1CCCCC1)C=CN1CCCCC1,4.43,,,,,,,3.73,,,,,,,,,,,,,,,,,,,,,
C(=CC=[N+]1CCCc2ccccc21)C=CN1CCCc2ccccc21,3.28,,,,,,,2.41,,,,,,,,,,,,,,,,,,,,,
C(=CC=[N+]1CCN(c2ccccc2)CC1)C=CN1CCN(c2ccccc2)CC1,3.26,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,
C(=CNc1ccccc1)C=Nc1ccccc1,,,,,,,,2.81,,,,,,,,,2.36,,,,,,,,,,,,
C(=C\c1ccccc1)\c1ccccc1,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,
C(=C\c1cnnc2ccccc12)\c1ccccc1,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,
C(=N/C(/N=C/c1ccco1)c1ccco1)\c1ccco1,,,,,,,,2.45,,,,,,,,,2.83,,,,,,,,,,,,
C(=N/N1CCCCCC1)\c1cccs1,,,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,
C(=N/N1CCN(C2Cc3ccccc3Sc3ccccc32)CC1)\c1ccccc1,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,
C(=N/N=C/c1ccco1)\c1ccco1,,,3.18,,,3.02,,,,,,,,,,,,,,,,,,,,,,,
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,,,,,,,,,3.21,,,,,,,,,,,,,,,,,,,,
C(=N/Nc1ccc(N2CCOCC2)nn1)\C1CCCC1,,,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,
C(=N/Nc1ccccc1)\c1cc2c3c(c1)CCCN3CCC2,,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,
C(=N/OC(c1ccccc1)c1ccccc1)\c1ccncc1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=N/OC1CCCCC1)\c1ccncc1,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=N/OCc1ccccc1)\c1ccccn1,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=N/c1cc(-c2ccccc2)no1)\c1ccccc1,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=N/c1cc(-c2cccs2)no1)\c1ccccc1,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=N/c1nc(-c2ccccc2)cs1)\c1ccccc1,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,
C(=N/c1ncn[nH]1)\c1ccccn1,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,
C(=NC1CCCCC1)=NC1CCCCC1,2.41,,,,,,4.31,2.41,,,,,,,,,2.71,,,,,,,,,,,,
C(=NC1CCCCC1)c1ccccc1,,,,,,,,1.76,,,,,,,,,1.78,,,,,,,,,,,,
C(=NCC(CCN1CCCC1)(CCN1CCCC1)c1cccc2ccccc12)C(CCN1CCCC1)(CCN1CCCC1)c1cccc2ccccc12,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=NCC(CCN1CCCCC1)(CCN1CCCCC1)c1cccc2ccccc12)C(CCN1CCCCC1)(CCN1CCCCC1)c1cccc2ccccc12,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=NCC(CCN1CCOCC1)(CCN1CCOCC1)c1cccc2ccccc12)C(CCN1CCOCC1)(CCN1CCOCC1)c1cccc2ccccc12,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=NCCCCCCN=Cc1cccc2c1OCO2)c1cccc2c1OCO2,,,,,,3.83,,,,,,,,,,,,,,,,,,,,,,,
C(=NCCCCCCN=Cc1ccco1)c1ccco1,,,,,,,,2.3,,,,,,,,,2.74,,,,,,,,,,,,
C(=NCCc1ccccc1)NCCc1ccccc1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=NN=Cc1ccccc1)c1ccccc1,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=N\Nc1ccccn1)\c1ccccn1,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,
C(=Nc1ccc(Cc2ccc(N=C=C(c3ccccc3)c3ccccc3)cc2)cc1)=C(c1ccccc1)c1ccccc1,,,,,,3.99,,,,,,,,,,,,,,,,,,,,,,,
C(=Nc1ccc(N2CCN(c3ccccc3)CC2)cc1)c1ccc(OCc2ccccc2)cc1,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=Nc1ccc(N=Cc2ccco2)cc1)c1ccco1,,,,,,,,2.82,,,,,,,,,2.34,,,,,,,,,,,,
C(=Nc1ccc2c(c1)OCO2)Nc1ccc2c(c1)OCO2,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,
C(=Nc1ccc2c(c1)OCO2)c1cccnc1,,,,,,,,,,,,,,,,,,,1.88,,,,2.35,,,,,,
C(=Nc1ccc2c(c1)OCO2)c1cccs1,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,
C(=Nc1ccc2c(c1)OCO2)c1ccncc1,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,
C(=Nc1ccccc1)Nc1ccccc1,,,,,,,,2.04,,,,,,,,,2.01,,,,,,,,,,,,
C(=Nc1cccnc1)c1ccc2ccccc2n1,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,
C(=Nc1ccnc2ccccc12)c1cnc2ccccc2c1,,,,,,,,,,,,,,2.66,,,,,,,,,,,,,,,
C(=Nc1cnc2ccccc2c1)c1ccccn1,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,
C(=Nc1cnc2ccccc2c1)c1cccnc1,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,
C(=Nc1cnc2ccccc2c1)c1ccncc1,,,,,,,,,,,,,,2.57,,,,,,,,,,,,,,,
C(=P(c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,,,,,,4.57,,,,,,,,,,,,,,,,,,,,,,,
C(C=C(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1,1.55,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,
C(CCCC1CCCC1)CCNCCSSCCNCCCCCCC1CCCC1,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCCCC1OCCO1)CCCC1OCCO1,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCCN1CCCC1)CCN1CCCC1,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,
C(CCCN1CCCCC1)CCN1CCCCC1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCCN1CCSC1)CCC1CCCC1,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCCN1CCSC1)CCC1CCCCC1,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCN1CCC(c2ccccc2)CC1)=C1c2ccccc2CCc2ccccc21,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,
C(CCN1CCC(c2ccccc2)CC1)=C1c2ccccc2Sc2ccccc21,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,
C(CCN1CCCCC1)=C1c2ccccc2CCc2ccccc21,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCN1CCN2CCCCC2C1)=C1c2ccccc2CCc2ccccc21,,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,
C(CCN1CCOCC1)=C1c2ccccc2CCc2ccccc21,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCOCC1CO1)COCC1CO1,,,,,,,,5.26,,,,,,,,2.25,2.25,,,,,,,,,,,,
C(CN1CCCC1)=C(c1ccccc1)c1ccccc1,,,,,,3.48,,,,,,,,,,,,,,,,,,,,,,,
C(CN1CCCCC1)=C(c1ccccc1)c1ccccc1,2.9,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,
C(CN1CCCc2ccccc21)=C1c2ccccc2CCc2ccccc21,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CN1CCN(c2ccccc2)CC1)=C1c2ccccc2CCc2ccccc21,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CN1CCN2Cc3[nH]c4ccccc4c3CC2C1)=C(c1ccccc1)c1ccccc1,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CN1CCOCC1)=C(c1ccccc1)c1ccccc1,3.15,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,
C(CNC1CCCC1)=C1c2ccccc2CCc2ccccc21,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CNC1CCCCC1)=C1c2ccccc2CCc2ccccc21,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(COCC1CO1)OCC1CO1,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,
C(COCCOCC1CO1)OCCOCC1CO1,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,
C(C[N+]12CCC(CC1)CC2)OCC[N+]12CCC(CC1)CC2,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,
C(NC1CCCCC1)=[NH+]C1CCCCC1,,,,,,3.68,,,,,,,,,,,,,,,,,,,,,,,
C(OCC1CO1)C1CO1,,,,,,3.11,,2.88,,,,,,,,,2.46,,,,,,,2.11,,,,,
C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,,,,,,,2.7,2.3,,,,,,,,,2.25,,,,,,,,,,,,
C(SSCC1CS1)C1CS1,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,,,
C(\CCN1CCC(c2ccccc2)CC1)=C1\c2ccccc2CSc2ccccc21,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,
C(\CN1CCOCC1)=C(/CN1CCOCC1)Sc1ccccc1,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(\Nc1ccc(-c2nc3ccccc3[nH]2)cc1)=C1/C(c2ccccc2)=Nc2ccccc21,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
C(\Nc1cccc(-c2nc3ccccc3[nH]2)c1)=C1\C(c2ccccc2)=Nc2ccccc21,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
C(\Nc1ccccc1-c1nc2ccccc2[nH]1)=C1\C(c2ccccc2)=Nc2ccccc21,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,2.87,,,,,2.97,2.87,2.26,,,,,2.7,,,,2.26,,,,,,,,,,,,
C/C(=C(/CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,2.45,,,,,,3.03,2.15,,,,2.92,2.37,,,,2.15,,,,,3.81,,,,,,,
C/C(=C(/CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,2.5,,,,,3.6,,1.93,,,,,,,,,,,,,,,,,,,,,
C/C(=C(\CCO)S/C=C/C(=O)C(C)C)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,
C/C(=C(\CCO)S/C=C/C(=O)CCC(C)C)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,,,,,,,,,,,2.91,,,,,,
C/C(=C(\CCO)S/C=C/C(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,2.36,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,
C/C(=C(\CCOP(=O)(O)O)SS/C(CCOP(=O)(O)O)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,,,,,,2.46,,,,,,,2.46,,,,,,,,,,,,,,,,
C/C(=C(\CCS(C)=O)SS/C(CCS(C)=O)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,,,,,,3.32,,2.64,,,,2.98,3.18,,,,2.64,,,,,3.3,,,,,,,
C/C(=C/C#N)OC[C@@H]1CC2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)O)C(=O)O,,,,,,,,1.76,,,,,,,,,1.99,,,,,,,,,1.98,,,
C/C(=C/C(=O)O)CCCC(C)(C)c1ccccc1,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)O)Cc1ccccc1,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)c1ccc(F)cc1)N1CCN(c2ccc(F)cc2)CC1,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)c1ccc(F)cc1)N1CCOCC1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)c1cccc(F)c1)N1CCCCC1,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)c1cccc(F)c1)N1CCN(c2ccc(F)cc2)CC1,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)c1cccc(F)c1)N1CCN(c2cccc(C(F)(F)F)c2)CC1,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(=O)c1ccccc1)N1CCN(c2ccc(F)cc2)CC1,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C(C)C(=O)CC(O)CC1CC(=O)NC(=O)C1)C1OC1C,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/C/C=C(\C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,,,,,,,,,,,,,,,4.79,,,,,,,,,,,,,,
C/C(=C/C=C/[C@@H](C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,5.21,,4.19,,5.17,,,,,,,,,,5.14,,,,,,,,,,,,,,
C/C(=C/CCN1CCN2Cc3[nH]c4ccccc4c3CC2C1)c1ccc(F)cc1,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C/CC[C@]1(C)C2C[C@H]3[C@@H](C2)C31C)CO,,,,,,,,,,,,,,,,1.64,1.76,,,,,,,,,,,,
C/C(=C/c1ccc(Cl)cc1)[N+](=O)[O-],,,,,,,,,,,,,,2.99,,,,,,,,,,,,,,,
C/C(=C/c1cccnc1)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,
C/C(=C/c1ccco1)[N+](=O)[O-],,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,
C/C(=C1/N=C2CN=C(c3ccccc3)c3cc(Cl)ccc3N2C1=O)N1CCN(C)CC1,,,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,
C/C(=C1/SC(=S)NC1=O)c1cccc(O)c1,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C1/SC(=S)NC1=O)c1cccc2oc(-c3ccccc3)nc12,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,
C/C(=C1\C[NH+]2CCC1CC2CO)c1cc[nH+]c2ccc(OCCO)cc12,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C1\NC(=S)NC1=O)N(C)C,,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)NCCO)c1ccccc1,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)O)C(=O)O,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)O)CC/C=C(\C)C(=O)O,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)O)Cc1ccccc1,,,,,,3.5,,,2.53,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,,,,,,2.49,,2.0,,,,2.0,2.1,,,,2.0,,,,,2.58,,,,,,,
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@](O)(C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)c1ccc(-c2ccccc2Cl)cc1)C(=O)O,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)c1ccc(F)cc1)N1CCC(O)(c2ccccc2)CC1,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)c1ccc(F)cc1)N1CCN(c2cccc(C(F)(F)F)c2)CC1,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C(=C\C(=O)c1ccc(F)cc1)N1CCN(c2ccccc2)CC1,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
